id,venue,year,title,title_pattern,section_order,method_role,experiment_role,figure_roles,table_roles,limitation_style,conclusion_style,local_pdf,local_note
paper_10,TVLSI,2024,An Energy Efficient Soft SIMD Microarchitecture and Its Application on Quantized CNNs,metric-modifier title,Abstract > Architecture > Model > Introduction > Conclusion > Method > Background > Design > Related Work > Results > Experimental Setup > Implementation > Limitations > Evaluation,architecture/design explanation,benchmark/SOTA comparison,illustration ; architecture ; illustration ; workflow ; illustration ; illustration ; illustration ; sota comparison,architecture ; architecture|dataflow ; architecture|dataflow ; result ; setup/parameter ; architecture ; architecture|result ; result|sota comparison,explicit limitations section,result-summary conclusion,03_TVLSI/pdfs/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.pdf,03_TVLSI/notes/2024_TVLSI_an_energy_efficient_soft_simd_microarchitecture_and_its_application_on_quantized.md
paper_01,TC,2023,Efficient Error Detection for Matrix Multiplication With Systolic Arrays on FPGAs,metric-modifier title|platform/object explicit,Future Work > Background > Model > Architecture > Related Work > Implementation > Design > Method > Analysis > Abstract > Motivation > Results,architecture/design explanation,benchmark/SOTA comparison,illustration ; mechanism ; illustration ; illustration ; illustration ; illustration ; ablation/control|sota comparison ; architecture,architecture|result|ablation/control|sota comparison ; architecture|mechanism|result ; workflow,future-work bounded limitation,conclusion not detected in extracted pages,04_TC/pdfs/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.pdf,04_TC/notes/2023_TC_efficient_error_detection_for_matrix_multiplication_with_systolic_arrays_on_fpga.md
paper_02,TC,2024,Ara2: Exploring Single- and Multi-Core Vector Processing With an Efficient RVV 1.0 Compliant Open-Source Processor,name/acronym + descriptive subtitle|numeric-performance title|metric-modifier title,Abstract > Design > Architecture > Introduction > Evaluation > Implementation > Results > Analysis > Model,architecture/design explanation,measurement-driven evidence,dataflow|ablation/control|sota comparison ; system overview|dataflow ; dataflow|result ; system overview|dataflow|result ; system overview|result ; system overview|result|ablation/control|sota comparison ; system overview|result|limitation/traceability ; architecture|result,system overview|architecture ; architecture|result|sota comparison ; architecture|result ; architecture|result,explicit limitations section,conclusion not detected in extracted pages,04_TC/pdfs/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.pdf,04_TC/notes/2024_TC_ara2_exploring_single_and_multi_core_vector_processing_with_an_efficient_rvv_1_0.md
paper_03,TC,2023,DeepFire2: A Convolutional Spiking Neural Network Accelerator on FPGAs,name/acronym + descriptive subtitle|numeric-performance title|platform/object explicit,Abstract > Architecture > Limitations > Design > Implementation > Results > Model > Conclusion > Method,architecture/design explanation,benchmark/SOTA comparison,architecture|dataflow ; illustration ; dataflow ; illustration ; dataflow ; dataflow ; architecture|dataflow ; dataflow,setup/parameter ; timing ; result|sota comparison,explicit limitations section,claim-restatement conclusion,04_TC/pdfs/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.pdf,04_TC/notes/2023_TC_deepfire2_a_convolutional_spiking_neural_network_accelerator_on_fpgas.md
paper_04,TC,2023,Co-Design of Approximate Multilayer Perceptron for Ultra-Resource Constrained Printed Circuits,object-method title,Design > Model > Evaluation > Implementation > Architecture > Abstract > Analysis > Results > Method,architecture/design explanation,benchmark/SOTA comparison,system overview ; result ; architecture|result ; system overview|architecture|result ; result|sota comparison ; mechanism|result ; workflow|result ; architecture|result|sota comparison,setup/parameter ; result ; architecture,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,04_TC/pdfs/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.pdf,04_TC/notes/2023_TC_co_design_of_approximate_multilayer_perceptron_for_ultra_resource_constrained_pr.md
paper_05,TC,2024,Multi-Objective Hardware-Mapping Co-Optimisation for Multi-DNN Workloads on Chiplet-Based Accelerators,platform/object explicit,Abstract > Architecture > Design > Background > Model > Evaluation > Method > Results,architecture/design explanation,benchmark/SOTA comparison,architecture|timing|dataflow|mechanism|result ; system overview ; illustration ; system overview|architecture|timing|result ; timing|result ; architecture|dataflow|result|ablation/control|sota comparison ; architecture|dataflow|result|ablation/control|sota comparison ; ablation/control|sota comparison,system overview|architecture ; architecture|dataflow ; setup/parameter ; architecture ; architecture,bounded claim caveat,conclusion not detected in extracted pages,04_TC/pdfs/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.pdf,04_TC/notes/2024_TC_multi_objective_hardware_mapping_co_optimisation_for_multi_dnn_workloads_on_chip.md
paper_06,TC,2024,FPGA-Accelerated Range-Limited Molecular Dynamics,platform/object explicit,Abstract > Architecture > Results > Method > Design > Background > Model > Evaluation > Discussion > Implementation,architecture/design explanation,simulation evaluation,dataflow ; illustration ; dataflow ; architecture|dataflow ; workflow|dataflow ; architecture|workflow|dataflow ; illustration ; workflow,not detected in extracted pages,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,04_TC/pdfs/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.pdf,04_TC/notes/2024_TC_fpga_accelerated_range_limited_molecular_dynamics.md
paper_07,TC,2023,Fast Inner-Product Algorithms and Architectures for Deep Neural Network Accelerators,platform/object explicit,Architecture > Model > Implementation > Abstract > Background > Related Work > Results > Design > Analysis > Motivation > Discussion,architecture/design explanation,benchmark/SOTA comparison,workflow|result ; illustration ; architecture ; dataflow ; dataflow ; ablation/control,architecture|ablation/control|sota comparison ; architecture|ablation/control|sota comparison,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,04_TC/pdfs/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.pdf,04_TC/notes/2023_TC_fast_inner_product_algorithms_and_architectures_for_deep_neural_network_accelera.md
paper_08,TC,2024,TOP: Towards Open & Predictable Heterogeneous SoCs,name/acronym + descriptive subtitle|platform/object explicit,Abstract > Analysis > Model > Method > Architecture > Design > Results > Discussion,architecture/design explanation,measurement-driven evidence,dataflow ; illustration ; architecture ; system overview|timing ; system overview ; system overview|dataflow ; system overview|workflow|dataflow|ablation/control ; illustration,not detected in extracted pages,explicit limitations section,conclusion not detected in extracted pages,04_TC/pdfs/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.pdf,04_TC/notes/2024_TC_top_towards_open_and_predictable_heterogeneous_socs.md
paper_09,TC,2025,An FPGA-Based Open-Source Hardware-Software Framework for Side-Channel Security Research,platform/object explicit,Abstract > Security > Design > Results > Analysis > Architecture > Method > Implementation > Background > Experimental Setup > Model,architecture/design explanation,security evaluation,system overview|workflow ; system overview ; system overview|architecture ; system overview ; mechanism,setup/parameter ; mechanism ; mechanism ; mechanism,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,04_TC/pdfs/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.pdf,04_TC/notes/2025_TC_an_fpga_based_open_source_hardware_software_framework_for_side_channel_security.md
paper_10,TC,2024,SCARF: Securing Chips With a Robust Framework Against Fabrication-Time Hardware Trojans,name/acronym + descriptive subtitle|platform/object explicit,Abstract > Method > Security > Design > Model > Background > Related Work > Analysis > Motivation > Implementation > Results > Architecture > Evaluation > Conclusion,architecture/design explanation,security evaluation,system overview ; architecture ; architecture ; workflow ; illustration ; illustration ; architecture ; illustration,setup/parameter ; architecture|result ; result,implicit limitation in discussion/conclusion,result-summary conclusion,04_TC/pdfs/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.pdf,04_TC/notes/2024_TC_scarf_securing_chips_with_a_robust_framework_against_fabrication_time_hardware_t.md
paper_01,TCAD,2023,A Triple-Memristor Hopfield Neural Network With Space Multistructure Attractors and Space Initial-Offset Behaviors,object-method title,Abstract > Design > Model > Conclusion > Method > Analysis > Implementation > Results,method/workflow explanation,simulation evaluation,illustration ; illustration ; mechanism ; mechanism|ablation/control ; mechanism ; illustration ; system overview|workflow ; architecture,setup/parameter ; result,implicit limitation in discussion/conclusion,claim-restatement conclusion,05_TCAD/pdfs/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.pdf,05_TCAD/notes/2023_TCAD_a_triple_memristor_hopfield_neural_network_with_space_multistructure_attractors.md
paper_02,TCAD,2024,Diversified Butterfly Attractors of Memristive HNN With Two Memristive Systems and Application in IoMT for Privacy Protection,object-method title,Abstract > Design > Security > Results > Model > Analysis > Method > Implementation > Evaluation,method/workflow explanation,benchmark/SOTA comparison,architecture ; illustration ; illustration ; illustration ; result ; illustration ; illustration ; illustration,system overview|architecture|result|ablation/control|sota comparison ; mechanism|result ; result|ablation/control|sota comparison,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,05_TCAD/pdfs/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.pdf,05_TCAD/notes/2024_TCAD_diversified_butterfly_attractors_of_memristive_hnn_with_two_memristive_systems_a.md
paper_03,TCAD,2023,"Efficient <i>N:M</i> Sparse DNN Training Using Algorithm, Architecture, and Dataflow Co-Design",name/acronym + descriptive subtitle|metric-modifier title,Abstract > Architecture > Results > Method > Design > Background > Model > Limitations > Experimental Setup > Analysis > Implementation > Discussion,architecture/design explanation,benchmark/SOTA comparison,architecture|result ; ablation/control|sota comparison ; ablation/control|sota comparison ; workflow ; architecture ; workflow|dataflow|result ; workflow|dataflow ; illustration,result ; result ; setup/parameter ; workflow|dataflow ; architecture ; architecture|ablation/control|sota comparison,explicit limitations section,conclusion not detected in extracted pages,05_TCAD/pdfs/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.pdf,05_TCAD/notes/2023_TCAD_efficient_n_m_sparse_dnn_training_using_algorithm_architecture_and_dataflow_co_d.md
paper_04,TCAD,2025,Spatz: Clustering Compact RISC-V-Based Vector Units to Maximize Computing Efficiency,name/acronym + descriptive subtitle|platform/object explicit,Abstract > Architecture > Implementation > Design > Results > Conclusion > Model > Analysis > Method,architecture/design explanation,measurement-driven evidence,architecture|dataflow|ablation/control ; architecture ; architecture ; architecture|result ; architecture|ablation/control ; result ; ablation/control ; illustration,setup/parameter ; result ; dataflow,implicit limitation in discussion/conclusion,result-summary conclusion,05_TCAD/pdfs/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.pdf,05_TCAD/notes/2025_TCAD_spatz_clustering_compact_risc_v_based_vector_units_to_maximize_computing_efficie.md
paper_05,TCAD,2023,Energy-Efficient Spintronic-Based Neuromorphic Computing System Using Current Mode Track and Termination Circuit,metric-modifier title,Abstract > Design > Method > Implementation > Introduction > Results > Model > Architecture,architecture/design explanation,benchmark/SOTA comparison,illustration ; illustration ; illustration ; illustration ; architecture ; result ; result ; mechanism|result|ablation/control|sota comparison,setup/parameter ; architecture|result|ablation/control|sota comparison ; system overview|architecture|dataflow|mechanism,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,05_TCAD/pdfs/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.pdf,05_TCAD/notes/2023_TCAD_energy_efficient_spintronic_based_neuromorphic_computing_system_using_current_mo.md
paper_06,TCAD,2024,Bank on Compute-Near-Memory: Design Space Exploration of Processing-Near-Bank Architectures,name/acronym + descriptive subtitle,Abstract > Design > Architecture > Analysis > Method > Results > Model > Experimental Setup,architecture/design explanation,simulation evaluation,dataflow ; system overview|dataflow|result ; illustration ; workflow|dataflow ; architecture|dataflow ; result ; result|ablation/control ; result,dataflow ; architecture ; architecture|result,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,05_TCAD/pdfs/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.pdf,05_TCAD/notes/2024_TCAD_bank_on_compute_near_memory_design_space_exploration_of_processing_near_bank_arc.md
paper_07,TCAD,2023,CRAFT: Criticality-Aware Fault-Tolerance Enhancement Techniques for Emerging Memories-Based Deep Neural Networks,name/acronym + descriptive subtitle,Design > Abstract > Architecture > Background > Model > Method > Implementation > Experimental Setup > Results > Analysis,architecture/design explanation,implementation result evaluation,architecture ; dataflow|mechanism ; mechanism|result ; dataflow ; mechanism|result ; dataflow|result ; dataflow ; illustration,setup/parameter ; dataflow|mechanism,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,05_TCAD/pdfs/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.pdf,05_TCAD/notes/2023_TCAD_craft_criticality_aware_fault_tolerance_enhancement_techniques_for_emerging_memo.md
paper_08,TCAD,2025,A Highly Reliable Dual-Mode RRAM PUF With Key Concealment Scheme,metric-modifier title|platform/object explicit,Abstract > Design > Architecture > Implementation > Analysis > Model > Results > Security > Method,architecture/design explanation,measurement-driven evidence,illustration ; illustration ; illustration ; architecture ; illustration ; result ; illustration ; illustration,setup/parameter ; result ; setup/parameter ; dataflow,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,05_TCAD/pdfs/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.pdf,05_TCAD/notes/2025_TCAD_a_highly_reliable_dual_mode_rram_puf_with_key_concealment_scheme.md
paper_09,TCAD,2024,When Random Is Bad: Selective CRPs for Protecting PUFs Against Modeling Attacks,name/acronym + descriptive subtitle|problem-framing title|platform/object explicit,Abstract > Model > Design > Security > Method > Implementation > Related Work > Background > Experimental Setup > Results > Evaluation > Conclusion > Analysis,method/workflow explanation,benchmark/SOTA comparison,mechanism|ablation/control|sota comparison ; illustration ; illustration ; illustration ; architecture ; result ; mechanism|result ; architecture|result,mechanism,bounded claim caveat,result-summary conclusion,05_TCAD/pdfs/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.pdf,05_TCAD/notes/2024_TCAD_when_random_is_bad_selective_crps_for_protecting_pufs_against_modeling_attacks.md
paper_10,TCAD,2023,MAFIA: Protecting the Microarchitecture of Embedded Systems Against Fault Injection Attacks,name/acronym + descriptive subtitle,Abstract > Architecture > Security > Evaluation > Related Work > Implementation > Background > Model > Analysis > Design > Conclusion > Future Work > Results,architecture/design explanation,benchmark/SOTA comparison,system overview|architecture|mechanism|ablation/control ; workflow|dataflow|mechanism|ablation/control ; illustration ; workflow|ablation/control ; illustration ; sota comparison,workflow ; result ; result ; result,future-work bounded limitation,result-summary conclusion,05_TCAD/pdfs/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.pdf,05_TCAD/notes/2023_TCAD_mafia_protecting_the_microarchitecture_of_embedded_systems_against_fault_injecti.md
paper_01,TCHES/CHES,2023,BASALISC: Programmable Hardware Accelerator for BGV Fully Homomorphic Encryption,name/acronym + descriptive subtitle|platform/object explicit,Abstract > Architecture > Results > Motivation > Preliminaries > Model > Security > Implementation > Design > Analysis,architecture/design explanation,security evaluation,system overview ; illustration ; workflow,setup/parameter ; setup/parameter ; dataflow ; timing|dataflow,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_basalisc_programmable_hardware_accelerator_for_bgv_fully_homomorphic_encryption.md
paper_02,TCHES/CHES,2024,A Highly-efficient Lattice-based Post-Quantum Cryptography Processor for IoT Applications,metric-modifier title,Abstract > Design > Architecture > Evaluation > Implementation > Introduction > Security > Background > Method > Results,architecture/design explanation,security evaluation,architecture ; architecture ; illustration ; illustration ; illustration ; illustration ; illustration ; workflow|result,setup/parameter ; setup/parameter ; setup/parameter,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.pdf,06_TCHES_CHES/notes/2024_TCHES_CHES_a_highly_efficient_lattice_based_post_quantum_cryptography_processor_for_iot_app.md
paper_03,TCHES/CHES,2023,Pushing the Limits of Generic Side-Channel Attacks on LWE-based KEMs - Parallel PC Oracle Attacks on Kyber KEM and Beyond,object-method title,Abstract > Implementation > Analysis > Introduction > Results > Security > Design > Preliminaries > Motivation > Model,model/analysis explanation,benchmark/SOTA comparison,mechanism|ablation/control|sota comparison ; illustration ; illustration,not detected in extracted pages,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_pushing_the_limits_of_generic_side_channel_attacks_on_lwe_based_kems_parallel_pc.md
paper_04,TCHES/CHES,2023,Exploiting Intermediate Value Leakage in Dilithium: A Template-Based Approach,name/acronym + descriptive subtitle,Abstract > Implementation > Design > Method > Model > Introduction > Security > Analysis > Background > Evaluation > Results,method/workflow explanation,security evaluation,illustration ; illustration,not detected in extracted pages,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_exploiting_intermediate_value_leakage_in_dilithium_a_template_based_approach.md
paper_05,TCHES/CHES,2024,HAETAE: Shorter Lattice-Based Fiat-Shamir Signatures,name/acronym + descriptive subtitle,Abstract > Design > Security > Implementation > Analysis > Introduction > Evaluation > Discussion > Model > Results > Future Work > Related Work > Preliminaries > Architecture,architecture/design explanation,measurement-driven evidence,illustration ; illustration ; workflow ; illustration ; workflow,setup/parameter ; ablation/control|sota comparison ; ablation/control|sota comparison,future-work bounded limitation,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.pdf,06_TCHES_CHES/notes/2024_TCHES_CHES_haetae_shorter_lattice_based_fiat_shamir_signatures.md
paper_06,TCHES/CHES,2023,Protecting Dilithium against Leakage,object-method title,Implementation > Security > Abstract > Analysis > Results > Introduction > Design > Evaluation > Conclusion > Background > Model > Method,method/workflow explanation,security evaluation,illustration ; illustration,setup/parameter,implicit limitation in discussion/conclusion,claim-restatement conclusion,06_TCHES_CHES/pdfs/2023_TCHES_CHES_protecting_dilithium_against_leakage.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_protecting_dilithium_against_leakage.md
paper_07,TCHES/CHES,2023,Deep Learning Side-Channel Collision Attack,object-method title,Security > Abstract > Analysis > Method > Model > Implementation > Introduction > Architecture > Related Work > Results > Preliminaries > Design > Conclusion,architecture/design explanation,security evaluation,illustration ; illustration ; illustration ; illustration,not detected in extracted pages,implicit limitation in discussion/conclusion,result-summary conclusion,06_TCHES_CHES/pdfs/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_deep_learning_side_channel_collision_attack.md
paper_08,TCHES/CHES,2023,RDS: FPGA Routing Delay Sensors for Effective Remote Power Analysis Attacks,name/acronym + descriptive subtitle|platform/object explicit,Analysis > Abstract > Design > Evaluation > Implementation > Introduction > Method > Security > Results > Model > Related Work > Background > Architecture > Experimental Setup,architecture/design explanation,security evaluation,timing|mechanism ; mechanism ; mechanism ; mechanism ; mechanism|limitation/traceability ; system overview|architecture ; system overview ; system overview|architecture,timing|mechanism,implicit limitation in discussion/conclusion,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_rds_fpga_routing_delay_sensors_for_effective_remote_power_analysis_attacks.md
paper_09,TCHES/CHES,2023,Fiddling the Twiddle Constants - Fault Injection Analysis of the Number Theoretic Transform,object-method title,Analysis > Abstract > Implementation > Introduction > Security > Design > Background > Conclusion > Model > Results > Motivation,model/analysis explanation,security evaluation,workflow ; mechanism|result,workflow|mechanism,implicit limitation in discussion/conclusion,result-summary conclusion,06_TCHES_CHES/pdfs/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_fiddling_the_twiddle_constants_fault_injection_analysis_of_the_number_theoretic.md
paper_10,TCHES/CHES,2023,Conditional Variational AutoEncoder based on Stochastic Attacks,object-method title,Abstract > Implementation > Results > Model > Security > Design > Architecture > Introduction > Analysis > Evaluation > Limitations > Related Work > Future Work > Preliminaries > Method,architecture/design explanation,security evaluation,system overview ; illustration ; illustration,not detected in extracted pages,explicit limitations section,conclusion not detected in extracted pages,06_TCHES_CHES/pdfs/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.pdf,06_TCHES_CHES/notes/2023_TCHES_CHES_conditional_variational_autoencoder_based_on_stochastic_attacks.md
