bib_key,entry_type,year,title,venue_or_source,doi,is_cited,citation_lines,reference_role,usage_context,quality_check,recommendation
Sunar_2007,article,2007,A Provably Secure True Random Number Generator with Built-In Tolerance to Active Attacks,IEEE Transactions on Computers,10.1109/TC.2007.250627,yes,57;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Fischer_2008,inproceedings,2008,Enhancing Security of Ring Oscillator-Based TRNG Implemented in FPGA,2008 International Conference on Field Programmable Logic and Applications,10.1109/FPL.2008.4629939,yes,57;85;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Bochard_2009,inproceedings,2009,Observing the Randomness in RO-Based TRNG,2009 International Conference on Reconfigurable Computing and FPGAs,10.1109/ReConFig.2009.57,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Wold_2009,article,2009,Analysis and Enhancement of Random Number Generator in FPGA Based on Oscillator Rings,International Journal of Reconfigurable Computing,10.1155/2009/501672,yes,57;85,standard/evaluation guidance,"Ring-oscillator true random number generators (\rotrng{}s) are attractive for FPGAs because they can be built from ordinary logic resources and exploit on-chip timing uncertainty as an entropy source \cite{Sunar_2007,Fischer_2008,Wold_2009}. Their measured behavior, however, is inseparable from implementation. Placement, routing, clocking, reset sequencing,  | FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sa",ok,"keep; cite only for evaluation guidance, not certification"
Bochard_2010,article,2010,True-Randomness and Pseudo-Randomness in Ring Oscillator-Based True Random Number Generators,International Journal of Reconfigurable Computing,10.1155/2010/879281,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Baudet_2011,article,2011,On the Security of Oscillator-Based Random Number Generators,Journal of Cryptology,10.1007/s00145-010-9089-3,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Nannipieri_2021,article,2021,True Random Number Generator Based on Fibonacci-Galois Ring Oscillators for FPGA,Applied Sciences,10.3390/app11083330,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
Sato_2021,article,2021,Consideration for Affects of an XOR in a Random Number Generator Using Ring Oscillators,Entropy,10.3390/e23091168,yes,484,recent TRNG/FPGA architecture context,"The reduced-XOR experiment provides a second mechanism layer, motivated by prior caution that XOR combining can reshape the observable behavior of RO-based random-number generators \cite{Sato_2021}. Figure~\ref{fig:reducedxorconstruct} shows the construction. Let $s_{r,k}$ denote the sampled bit for data RO $r\in\{0,\ldots,7\}$ at sampler phase $k\in\{0,\ldo",ok,keep; verify each citation sentence states the specific role
RojasMunoz_2022,article,2022,True Random Number Generation Capability of a Ring Oscillator PUF for Reconfigurable Devices,Electronics,10.3390/electronics11234028,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
Frustaci_2023,article,2023,A High-Speed FPGA-Based True Random Number Generator Using Metastability With Clock Managers,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/TCSII.2022.3211278,yes,87,recent TRNG/FPGA architecture context,"Recent FPGA TRNG architecture studies reinforce the implementation theme. Compact multi-RO, RO-PUF/TRNG, and DCM/metastability designs report area, throughput, portability, and platform tradeoffs, and some explicitly evaluate place-and-route dependence as part of the hardware study \cite{Nannipieri_2021,RojasMunoz_2022,Frustaci_2023}. These works motivate ca",ok,keep; verify each citation sentence states the specific role
Grujic_2022_TROT,article,2022,TROT: A Three-Edge Ring Oscillator Based True Random Number Generator With Time-to-Digital Conversion,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/TCSI.2022.3158022,no,,TDC/instrumentation support,,ok,unused now; candidate recent TRNG/SOTA context if discussed
DellaSala_2024_LatchedRO,article,2024,Unveiling the True Power of the Latched Ring Oscillator for a Unified PUF and TRNG Architecture,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/TVLSI.2024.3448503,no,,recent TRNG/FPGA architecture context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Yao_2025_IRCATRNG,article,2025,IRCA-TRNG: A Lightweight Dual-Ring Chaotic TRNG With Perturbation Refresh for High Throughput,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/TVLSI.2025.3608292,no,,recent TRNG/FPGA architecture context,,ok,unused now; candidate recent TRNG/SOTA context if discussed
Markettos_2009,incollection,2009,The Frequency Injection Attack on Ring-Oscillator-Based True Random Number Generators,Cryptographic Hardware and Embedded Systems -- CHES 2009,10.1007/978-3-642-04138-9_23,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Lubicz_2015,article,2015,Towards an Oscillator Based TRNG with a Certified Entropy Rate,IEEE Transactions on Computers,10.1109/TC.2014.2308423,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Lubicz_2024,article,2024,Entropy Computation for Oscillator-Based Physical Random Number Generators,Journal of Cryptology,10.1007/s00145-024-09494-6,yes,85,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are ",ok,"keep; cite only for evaluation guidance, not certification"
Chen_2021_FullEntropy,article,2021,A Lightweight Full Entropy TRNG With On-Chip Entropy Assurance,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/TCAD.2021.3096464,no,,recent TRNG/FPGA architecture context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Bernard_2023_JitterMeasurement,article,2023,Low Cost and Precise Jitter Measurement Method for TRNG Entropy Assessment,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i1.207-228,no,,TDC/instrumentation support,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Peetermans_2024_PhaseNoise,article,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/TCSI.2023.3343114,no,,mechanism/modeling context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Peetermans_2024_FlickerFM,article,2024,TRNG Entropy Model in the Presence of Flicker FM Noise,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i4.285-306,no,,mechanism/modeling context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Benea_2024_FlickerNoise,article,2024,Impact of the Flicker Noise on the Ring Oscillator-Based TRNGs,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i2.870-889,no,,mechanism/modeling context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Ma_2025_PLLPhaseNoise,article,2025,On the Characterization of Phase Noise for the Robust and Resilient PLL-TRNG Design,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2025.i3.238-261,no,,mechanism/modeling context,,ok,unused now; candidate for related-work gap or mechanism-context paragraph
Turan_2018,techreport,2018,Recommendation for the Entropy Sources Used for Random Bit Generation,National Institute of Standards and Technology,10.6028/NIST.SP.800-90B,yes,85;89,standard/evaluation guidance,"FPGA \rotrng{}s use oscillator-derived timing uncertainty, sampling logic, and combining or conditioning logic to generate random bits \cite{Sunar_2007,Fischer_2008,Wold_2009,Bochard_2009}. Oscillator-based TRNG work also warns that test-passing streams can contain deterministic or pseudo-random structure unless the source model and sampling assumptions are  | These foundations cover RO construction, statistical assessment, standards-oriented entropy-source evaluation, active perturbation, and TDC instrumentation. They do not, by themselves, close the implementation-level measurement gap addressed here. A final bitstream is not merely an abstract RTL object; it is a routed physical implement",ok,"keep; cite only for evaluation guidance, not certification"
Jian_Song_2006,article,2006,A High-Resolution Time-to-Digital Converter Implemented in Field-Programmable-Gate-Arrays,IEEE Transactions on Nuclear Science,10.1109/TNS.2006.869820,yes,91,TDC/instrumentation support,"\tdc{} instrumentation provides another diagnostic layer. FPGA \tdc{}s have a substantial instrumentation literature \cite{Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017}, but raw bins are not automatically linear timing measurements. In this work, \tdc{} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locki",ok,keep; cite for diagnostic/instrumentation limits
Wu_2009,inproceedings,2009,On-Chip Processing for the Wave Union TDC Implemented in FPGA,2009 16th IEEE-NPSS Real Time Conference,10.1109/RTC.2009.5322002,yes,91,TDC/instrumentation support,"\tdc{} instrumentation provides another diagnostic layer. FPGA \tdc{}s have a substantial instrumentation literature \cite{Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017}, but raw bins are not automatically linear timing measurements. In this work, \tdc{} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locki",ok,keep; cite for diagnostic/instrumentation limits
Wu_2012,article,2012,A Low-Power Wave Union TDC Implemented in FPGA,Journal of Instrumentation,10.1088/1748-0221/7/01/C01021,yes,91,TDC/instrumentation support,"\tdc{} instrumentation provides another diagnostic layer. FPGA \tdc{}s have a substantial instrumentation literature \cite{Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017}, but raw bins are not automatically linear timing measurements. In this work, \tdc{} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locki",ok,keep; cite for diagnostic/instrumentation limits
Wang_2017,article,2017,A Flexible 32-Channel Time-to-Digital Converter Implemented in a Xilinx Zynq-7000 Field Programmable Gate Array,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",10.1016/j.nima.2016.11.031,yes,91,TDC/instrumentation support,"\tdc{} instrumentation provides another diagnostic layer. FPGA \tdc{}s have a substantial instrumentation literature \cite{Jian_Song_2006,Wu_2009,Wu_2012,Wang_2017}, but raw bins are not automatically linear timing measurements. In this work, \tdc{} data are used conservatively: they help test mechanism explanations, especially persistent pairwise hard locki",ok,keep; cite for diagnostic/instrumentation limits
