status,venue_group,year,title,venue,doi,relevance,priority,file,pdf_source,failure_reason,candidate_count
downloaded,TCASI,2016,Lightweight TRNG Based on Multiphase Timing of Bistables,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2016.2555248,TRNG/jitter/metastable-circuit related,primary,2016_TCASI_Lightweight_TRNG_Based_on_Multiphase_Timing_of_Bistables_10_1109_tcsi_2016_2555248.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2020,High-Throughput Portable True Random Number Generator Based on Jitter-Latch Structure,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2020.3037173,TRNG/jitter-latch related,primary,2020_TCASI_High_Throughput_Portable_True_Random_Number_Generator_Based_on_Jitte_10_1109_tcsi_2020_3037173.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2020,A New Class of Digital Circuits for the Design of Entropy Sources in Programmable Logic,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2020.2977920,digital entropy-source circuits,primary,2020_TCASI_A_New_Class_of_Digital_Circuits_for_the_Design_of_Entropy_Sources_in_10_1109_tcsi_2020_2977920.pdf,existing file,already present,4
downloaded,TCASI,2021,A New Energy-Efficient and High Throughput Two-Phase Multi-Bit per Cycle Ring Oscillator-Based True Random Number Generator,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2021.3087512,explicit RO-TRNG,primary,2021_TCASI_A_New_Energy_Efficient_and_High_Throughput_Two_Phase_Multi_Bit_per_C_10_1109_tcsi_2021_3087512.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2022,TROT: A Three-Edge Ring Oscillator Based True Random Number Generator With Time-to-Digital Conversion,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2022.3158022,explicit RO-TRNG,primary,2022_TCASI_TROT_A_Three_Edge_Ring_Oscillator_Based_True_Random_Number_Generator_10_1109_tcsi_2022_3158022.pdf,existing file,already present,2
downloaded,TCASI,2022,High-Throughput FPGA-Compatible TRNG Architecture Exploiting Multistimuli Metastable Cells,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2022.3199218,metastable-cell TRNG related,primary,2022_TCASI_High_Throughput_FPGA_Compatible_TRNG_Architecture_Exploiting_Multist_10_1109_tcsi_2022_3199218.pdf,existing file,already present,2
downloaded,TCASI,2023,Design of True Random Number Generator Based on Multi-Ring Convergence Oscillator Using Short Pulse Enhanced Randomness,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2023.3287162,explicit multi-ring oscillator TRNG,primary,2023_TCASI_Design_of_True_Random_Number_Generator_Based_on_Multi_Ring_Convergen_10_1109_tcsi_2023_3287162.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASI,2024,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,IEEE Transactions on Circuits and Systems I: Regular Papers,10.1109/tcsi.2023.3343114,oscillator phase-noise TRNG model,primary,2024_TCASI_Characterization_of_Oscillator_Phase_Noise_Arising_From_Multiple_Sou_10_1109_tcsi_2023_3343114.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2016,An Improved DCM-Based Tunable True Random Number Generator for Xilinx FPGA,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2016.2566262,DCM/clock-manager TRNG related,primary,2016_TCASII_An_Improved_DCM_Based_Tunable_True_Random_Number_Generator_for_Xilin_10_1109_tcsii_2016_2566262.pdf,existing file,already present,2
downloaded,TCASII,2019,FPGA-Based True Random Number Generation Using Programmable Delays in Oscillator-Rings,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2019.2919891,explicit oscillator-ring TRNG,primary,2019_TCASII_FPGA_Based_True_Random_Number_Generation_Using_Programmable_Delays_i_10_1109_tcsii_2019_2919891.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2019,An Analysis of DCM-Based True Random Number Generator,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2019.2926555,DCM/clock-manager TRNG related,primary,2019_TCASII_An_Analysis_of_DCM_Based_True_Random_Number_Generator_10_1109_tcsii_2019_2926555.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2021,Design of True Random Number Generator Based on Multi-Stage Feedback Ring Oscillator,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2021.3111049,explicit multi-stage feedback RO-TRNG,primary,2021_TCASII_Design_of_True_Random_Number_Generator_Based_on_Multi_Stage_Feedback_10_1109_tcsii_2021_3111049.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2021,A Novel Ultra-Compact FPGA-Compatible TRNG Architecture Exploiting Latched Ring Oscillators,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2021.3121537,explicit latched RO-TRNG,primary,2021_TCASII_A_Novel_Ultra_Compact_FPGA_Compatible_TRNG_Architecture_Exploiting_L_10_1109_tcsii_2021_3121537.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCASII,2022,A High-Speed FPGA-Based True Random Number Generator Using Metastability With Clock Managers,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2022.3211278,metastability/clock-manager TRNG related,primary,2022_TCASII_A_High_Speed_FPGA_Based_True_Random_Number_Generator_Using_Metastabi_10_1109_tcsii_2022_3211278.pdf,existing file,already present,2
downloaded,TCASII,2024,A High-Speed and Low-Power DSP-Based TRNG for FPGA Implementations,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2024.3421323,FPGA TRNG related,primary,2024_TCASII_A_High_Speed_and_Low_Power_DSP_Based_TRNG_for_FPGA_Implementations_10_1109_tcsii_2024_3421323.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,1
downloaded,TCASII,2026,A Phase-Walk-Based True Random Number Generator Exploiting Dual-Ring Phase Jitter Comparison,IEEE Transactions on Circuits and Systems II: Express Briefs,10.1109/tcsii.2026.3659467,dual-ring phase-jitter TRNG,primary,2026_TCASII_A_Phase_Walk_Based_True_Random_Number_Generator_Exploiting_Dual_Ring_10_1109_tcsii_2026_3659467.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TVLSI,2018,CSRO-Based Reconfigurable True Random Number Generator Using RRAM,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/tvlsi.2018.2823274,explicit configurable-switch RO TRNG,primary,2018_TVLSI_CSRO_Based_Reconfigurable_True_Random_Number_Generator_Using_RRAM_10_1109_tvlsi_2018_2823274.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TVLSI,2020,Unified Analog PUF and TRNG Based on Current-Steering DAC and VCO,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/tvlsi.2020.3011648,VCO/TRNG related,primary,2020_TVLSI_Unified_Analog_PUF_and_TRNG_Based_on_Current_Steering_DAC_and_VCO_10_1109_tvlsi_2020_3011648.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TVLSI,2023,A 0.116 pJ/bit Latch-Based True Random Number Generator Featuring Static Inverter Selection and Noise Enhancement,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/tvlsi.2023.3328602,latch/inverter TRNG related,primary,2023_TVLSI_A_0_116_pJ_bit_Latch_Based_True_Random_Number_Generator_Featuring_St_10_1109_tvlsi_2023_3328602.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TVLSI,2024,Unveiling the True Power of the Latched Ring Oscillator for a Unified PUF and TRNG Architecture,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/tvlsi.2024.3448503,explicit latched RO PUF/TRNG,primary,2024_TVLSI_Unveiling_the_True_Power_of_the_Latched_Ring_Oscillator_for_a_Unifie_10_1109_tvlsi_2024_3448503.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TVLSI,2025,IRCA-TRNG: A Lightweight Dual-Ring Chaotic TRNG With Perturbation Refresh for High Throughput,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,10.1109/tvlsi.2025.3608292,dual-ring chaotic TRNG,primary,2025_TVLSI_IRCA_TRNG_A_Lightweight_Dual_Ring_Chaotic_TRNG_With_Perturbation_Ref_10_1109_tvlsi_2025_3608292.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TC,2006,New Methods for Digital Generation and Postprocessing of Random Data,IEEE Transactions on Computers,10.1109/tc.2006.164,digital TRNG/postprocessing related,primary,2006_TC_New_Methods_for_Digital_Generation_and_Postprocessing_of_Random_Data_10_1109_tc_2006_164.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TC,2006,A Provably Secure True Random Number Generator with Built-In Tolerance to Active Attacks,IEEE Transactions on Computers,10.1109/tc.2007.250627,RO/jitter TRNG foundation,primary,2006_TC_A_Provably_Secure_True_Random_Number_Generator_with_Built_In_Toleran_10_1109_tc_2007_250627.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TC,2022,Birds of the Same Feather Flock Together: A Dual-Mode Circuit Candidate for Strong PUF-TRNG Functionalities,IEEE Transactions on Computers,10.1109/tc.2022.3218986,PUF-TRNG related,primary,2022_TC_Birds_of_the_Same_Feather_Flock_Together_A_Dual_Mode_Circuit_Candida_10_1109_tc_2022_3218986.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCAD,2021,A Lightweight Full Entropy TRNG With On-Chip Entropy Assurance,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2021.3096464,full-entropy TRNG,primary,2021_TCAD_A_Lightweight_Full_Entropy_TRNG_With_On_Chip_Entropy_Assurance_10_1109_tcad_2021_3096464.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCAD,2023,A Lightweight True Random Number Generator for Root of Trust Applications,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2023.3237957,TRNG for RoT applications,primary,2023_TCAD_A_Lightweight_True_Random_Number_Generator_for_Root_of_Trust_Applica_10_1109_tcad_2023_3237957.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,TCAD,2020,"An Overview of Hardware Security and Trust: Threats, Countermeasures, and Design Tools",IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,10.1109/tcad.2020.3047976,survey with TRNG/hardware-security context,primary,2020_TCAD_An_Overview_of_Hardware_Security_and_Trust_Threats_Countermeasures_a_10_1109_tcad_2020_3047976.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,2
downloaded,TCHES,2018,"ES-TRNG: A High-throughput, Low-area True Random Number Generator based on Edge Sampling",IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2018.i3.267-292,TCHES TRNG,primary,2018_TCHES_ES_TRNG_A_High_throughput_Low_area_True_Random_Number_Generator_base_10_46586_tches_v2018_i3_267-292.pdf,existing file,already present,2
downloaded,TCHES,2023,A Closer Look at the Chaotic Ring Oscillators based TRNG Design,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2023.i2.381-417,explicit chaotic RO-TRNG,primary,2023_TCHES_A_Closer_Look_at_the_Chaotic_Ring_Oscillators_based_TRNG_Design_10_46586_tches_v2023_i2_381-417.pdf,existing file,already present,4
downloaded,TCHES,2023,Enhancing Quality and Security of the PLL-TRNG,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2023.i4.211-237,PLL-TRNG related,primary,2023_TCHES_Enhancing_Quality_and_Security_of_the_PLL_TRNG_10_46586_tches_v2023_i4_211-237.pdf,existing file,already present,5
downloaded,TCHES,2023,Low Cost and Precise Jitter Measurement Method for TRNG Entropy Assessment,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i1.207-228,TRNG jitter assessment,primary,2023_TCHES_Low_Cost_and_Precise_Jitter_Measurement_Method_for_TRNG_Entropy_Asse_10_46586_tches_v2024_i1_207-228.pdf,existing file,already present,6
downloaded,TCHES,2024,Impact of the Flicker Noise on the Ring Oscillator-based TRNGs,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i2.870-889,explicit RO-TRNG analysis,primary,2024_TCHES_Impact_of_the_Flicker_Noise_on_the_Ring_Oscillator_based_TRNGs_10_46586_tches_v2024_i2_870-889.pdf,existing file,already present,5
downloaded,TCHES,2024,TRNG Entropy Model in the Presence of Flicker FM Noise,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2024.i4.285-306,TRNG entropy model,primary,2024_TCHES_TRNG_Entropy_Model_in_the_Presence_of_Flicker_FM_Noise_10_46586_tches_v2024_i4_285-306.pdf,existing file,already present,5
downloaded,TCHES,2025,On the Characterization of Phase Noise for the Robust and Resilient PLL-TRNG Design,IACR Transactions on Cryptographic Hardware and Embedded Systems,10.46586/tches.v2025.i3.238-261,PLL-TRNG phase-noise model,primary,2025_TCHES_On_the_Characterization_of_Phase_Noise_for_the_Robust_and_Resilient_10_46586_tches_v2025_i3_238-261.pdf,existing file,already present,3
downloaded,CHES,1999,A Design of Reliable True Random Number Generator for Cryptographic Applications,Cryptographic Hardware and Embedded Systems - CHES,10.1007/3-540-48059-5_18,historical CHES TRNG,secondary,1999_CHES_A_Design_of_Reliable_True_Random_Number_Generator_for_Cryptographic_10_1007_3-540-48059-5_18.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2002,True Random Number Generator Embedded in Reconfigurable Hardware,Cryptographic Hardware and Embedded Systems - CHES 2002,10.1007/3-540-36400-5_30,historical CHES TRNG,secondary,2002_CHES_True_Random_Number_Generator_Embedded_in_Reconfigurable_Hardware_10_1007_3-540-36400-5_30.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,2
downloaded,CHES,2003,Design and Implementation of a True Random Number Generator Based on Digital Circuit Artifacts,Cryptographic Hardware and Embedded Systems - CHES 2003,10.1007/978-3-540-45238-6_13,historical CHES TRNG,secondary,2003_CHES_Design_and_Implementation_of_a_True_Random_Number_Generator_Based_on_10_1007_978-3-540-45238-6_13.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2003,True Random Number Generators Secure in a Changing Environment,Cryptographic Hardware and Embedded Systems - CHES 2003,10.1007/978-3-540-45238-6_14,historical CHES TRNG,secondary,2003_CHES_True_Random_Number_Generators_Secure_in_a_Changing_Environment_10_1007_978-3-540-45238-6_14.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2004,An Offset-Compensated Oscillator-Based Random Bit Source for Security Applications,Cryptographic Hardware and Embedded Systems - CHES 2004,10.1007/978-3-540-28632-5_20,historical oscillator-based RNG,secondary,2004_CHES_An_Offset_Compensated_Oscillator_Based_Random_Bit_Source_for_Securit_10_1007_978-3-540-28632-5_20.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2007,High-Speed True Random Number Generation with Logic Gates Only,Cryptographic Hardware and Embedded Systems - CHES 2007,10.1007/978-3-540-74735-2_4,historical logic-gate TRNG,secondary,2007_CHES_High_Speed_True_Random_Number_Generation_with_Logic_Gates_Only_10_1007_978-3-540-74735-2_4.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,2
downloaded,CHES,2008,Fast Digital TRNG Based on Metastable Ring Oscillator,Cryptographic Hardware and Embedded Systems - CHES 2008,10.1007/978-3-540-85053-3_11,historical explicit RO-TRNG,secondary,2008_CHES_Fast_Digital_TRNG_Based_on_Metastable_Ring_Oscillator_10_1007_978-3-540-85053-3_11.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2009,The Frequency Injection Attack on Ring-Oscillator-Based True Random Number Generators,Cryptographic Hardware and Embedded Systems - CHES 2009,10.1007/978-3-642-04138-9_23,historical RO-TRNG attack,secondary,2009_CHES_The_Frequency_Injection_Attack_on_Ring_Oscillator_Based_True_Random_10_1007_978-3-642-04138-9_23.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2010,New High Entropy Element for FPGA Based True Random Number Generators,Cryptographic Hardware and Embedded Systems - CHES 2010,10.1007/978-3-642-15031-9_24,historical TERO TRNG,secondary,2010_CHES_New_High_Entropy_Element_for_FPGA_Based_True_Random_Number_Generator_10_1007_978-3-642-15031-9_24.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,0
downloaded,CHES,2015,A Physical Approach for Stochastic Modeling of TERO-Based TRNG,Cryptographic Hardware and Embedded Systems - CHES 2015,10.1007/978-3-662-48324-4_18,historical TERO TRNG model,secondary,2015_CHES_A_Physical_Approach_for_Stochastic_Modeling_of_TERO_Based_TRNG_10_1007_978-3-662-48324-4_18.pdf,institutional_access_manual_download,downloaded from official publisher via user institutional access,1
downloaded,CHES,2011,On the Security of Oscillator-Based Random Number Generators,Cryptographic Hardware and Embedded Systems - CHES,10.1007/978-3-642-23951-9_27,historical oscillator-based RNG model,secondary,2011_CHES_On_the_Security_of_Oscillator_Based_Random_Number_Generators_10_1007_978-3-642-23951-9_27.pdf,existing file,already present,1
