core_id,source_layer,title,year,venue_group,doi,subtopic,role_in_revision,why_core,trace_path
rotrng_23,ROTRNG_corpus,A Provably Secure True Random Number Generator with Built-In Tolerance to Active Attacks,2006,TC,10.1109/tc.2007.250627,jitter / phase-noise / PLL-DCM; attack robustness / security evaluation,foundation,foundational RO-TRNG security construction; already central to current manuscript framing,corpus/pdfs/2006_TC_A_Provably_Secure_True_Random_Number_Generator_with_Built_In_Toleran_10_1109_tc_2007_250627.pdf
rotrng_45,ROTRNG_corpus,On the Security of Oscillator-Based Random Number Generators,2011,CHES,10.1007/978-3-642-23951-9_27,attack robustness / security evaluation; measurement / characterization,foundation/security,oscillator RNG security context; supports bounded security language,corpus/pdfs/2011_CHES_On_the_Security_of_Oscillator_Based_Random_Number_Generators_10_1007_978-3-642-23951-9_27.pdf
rotrng_42,ROTRNG_corpus,The Frequency Injection Attack on Ring-Oscillator-Based True Random Number Generators,2009,CHES,10.1007/978-3-642-04138-9_23,RO-TRNG / oscillator-ring; attack robustness / security evaluation,attack robustness,frequency injection attack context; useful for attack/environment sensitivity paragraph,corpus/pdfs/2009_CHES_The_Frequency_Injection_Attack_on_Ring_Oscillator_Based_True_Random_10_1007_978-3-642-04138-9_23.pdf
rotrng_08,ROTRNG_corpus,Characterization of Oscillator Phase Noise Arising From Multiple Sources for ASIC True Random Number Generation,2024,TCASI,10.1109/tcsi.2023.3343114,jitter / phase-noise / PLL-DCM; measurement / characterization,phase-noise/model gap,recent TCAS-I phase-noise characterization; close to measurement/model gap,corpus/pdfs/2024_TCASI_Characterization_of_Oscillator_Phase_Noise_Arising_From_Multiple_Sou_10_1109_tcsi_2023_3343114.pdf
rotrng_33,ROTRNG_corpus,TRNG Entropy Model in the Presence of Flicker FM Noise,2024,TCHES,10.46586/tches.v2024.i4.285-306,jitter / phase-noise / PLL-DCM; entropy model / postprocessing; measurement / characterization,entropy model,recent TCHES entropy model with flicker FM noise; close to entropy-boundary framing,corpus/pdfs/2024_TCHES_TRNG_Entropy_Model_in_the_Presence_of_Flicker_FM_Noise_10_46586_tches_v2024_i4_285-306.pdf
rotrng_32,ROTRNG_corpus,Impact of the Flicker Noise on the Ring Oscillator-based TRNGs,2024,TCHES,10.46586/tches.v2024.i2.870-889,RO-TRNG / oscillator-ring; jitter / phase-noise / PLL-DCM,noise limitation,recent TCHES flicker-noise effect; supports noise/model limitations,corpus/pdfs/2024_TCHES_Impact_of_the_Flicker_Noise_on_the_Ring_Oscillator_based_TRNGs_10_46586_tches_v2024_i2_870-889.pdf
rotrng_34,ROTRNG_corpus,On the Characterization of Phase Noise for the Robust and Resilient PLL-TRNG Design,2025,TCHES,10.46586/tches.v2025.i3.238-261,jitter / phase-noise / PLL-DCM; measurement / characterization,recent modeling context,2025 TCHES phase-noise characterization for robust PLL-TRNG; newest modeling/security context,corpus/pdfs/2025_TCHES_On_the_Characterization_of_Phase_Noise_for_the_Robust_and_Resilient_10_46586_tches_v2025_i3_238-261.pdf
rotrng_31,ROTRNG_corpus,Low Cost and Precise Jitter Measurement Method for TRNG Entropy Assessment,2023,TCHES,10.46586/tches.v2024.i1.207-228,jitter / phase-noise / PLL-DCM; entropy model / postprocessing; measurement / characterization,measurement methodology,jitter measurement and entropy assessment; close to measurement methodology,corpus/pdfs/2023_TCHES_Low_Cost_and_Precise_Jitter_Measurement_Method_for_TRNG_Entropy_Asse_10_46586_tches_v2024_i1_207-228.pdf
rotrng_05,ROTRNG_corpus,TROT: A Three-Edge Ring Oscillator Based True Random Number Generator With Time-to-Digital Conversion,2022,TCASI,10.1109/tcsi.2022.3158022,RO-TRNG / oscillator-ring,recent TCAS-I architecture baseline,TCAS-I TROT; recent RO-TRNG architecture baseline,corpus/pdfs/2022_TCASI_TROT_A_Three_Edge_Ring_Oscillator_Based_True_Random_Number_Generator_10_1109_tcsi_2022_3158022.pdf
rotrng_06,ROTRNG_corpus,High-Throughput FPGA-Compatible TRNG Architecture Exploiting Multistimuli Metastable Cells,2022,TCASI,10.1109/tcsi.2022.3199218,metastability / latch-based entropy,recent FPGA entropy-source baseline,TCAS-I FPGA-compatible metastable-cell TRNG; recent FPGA entropy-source baseline,corpus/pdfs/2022_TCASI_High_Throughput_FPGA_Compatible_TRNG_Architecture_Exploiting_Multist_10_1109_tcsi_2022_3199218.pdf
rotrng_15,ROTRNG_corpus,A High-Speed and Low-Power DSP-Based TRNG for FPGA Implementations,2024,TCASII,10.1109/tcsii.2024.3421323,TRNG architecture / entropy source,recent TCAS-II implementation baseline,2024 TCAS-II high-speed low-power FPGA TRNG; recent compact implementation baseline,corpus/pdfs/2024_TCASII_A_High_Speed_and_Low_Power_DSP_Based_TRNG_for_FPGA_Implementations_10_1109_tcsii_2024_3421323.pdf
rotrng_20,ROTRNG_corpus,Unveiling the True Power of the Latched Ring Oscillator for a Unified PUF and TRNG Architecture,2024,TVLSI,10.1109/tvlsi.2024.3448503,RO-TRNG / oscillator-ring; metastability / latch-based entropy; PUF-TRNG / root-of-trust,TVLSI PUF/TRNG and latch context,2024 TVLSI latched RO PUF/TRNG; close to sampler/latch and dual-use discussion,corpus/pdfs/2024_TVLSI_Unveiling_the_True_Power_of_the_Latched_Ring_Oscillator_for_a_Unifie_10_1109_tvlsi_2024_3448503.pdf
rotrng_21,ROTRNG_corpus,IRCA-TRNG: A Lightweight Dual-Ring Chaotic TRNG With Perturbation Refresh for High Throughput,2025,TVLSI,10.1109/tvlsi.2025.3608292,RO-TRNG / oscillator-ring,newest TVLSI implementation baseline,2025 TVLSI chaotic TRNG; newest VLSI implementation baseline,corpus/pdfs/2025_TVLSI_IRCA_TRNG_A_Lightweight_Dual_Ring_Chaotic_TRNG_With_Perturbation_Ref_10_1109_tvlsi_2025_3608292.pdf
rotrng_25,ROTRNG_corpus,A Lightweight Full Entropy TRNG With On-Chip Entropy Assurance,2021,TCAD,10.1109/tcad.2021.3096464,entropy model / postprocessing,entropy assurance / TCAD context,TCAD full entropy assurance; supports entropy assurance and on-chip boundary discussion,corpus/pdfs/2021_TCAD_A_Lightweight_Full_Entropy_TRNG_With_On_Chip_Entropy_Assurance_10_1109_tcad_2021_3096464.pdf
current_ref_Turan_2018,current_manuscript_ref,Recommendation for the Entropy Sources Used for Random Bit Generation,2018,NIST,10.6028/NIST.SP.800-90B,entropy-source evaluation / restart-test guidance,standard / boundary language,required standard context for entropy-source boundary and certification-scope disclaimers,E:\Project\MLDSA\RO_TRNG\paper\RO_TRNG_entropy_boundary\refs\references.bib
